,GAME_ID,TEAM_ID_A,TEAM_NAME_A,TEAM_ABBREVIATION_A,TEAM_CITY_A,MIN_A,E_OFF_RATING_A,OFF_RATING_A,E_DEF_RATING_A,DEF_RATING_A,E_NET_RATING_A,NET_RATING_A,AST_PCT_A,AST_TOV_A,AST_RATIO_A,OREB_PCT_A,DREB_PCT_A,REB_PCT_A,E_TM_TOV_PCT_A,TM_TOV_PCT_A,EFG_PCT_A,TS_PCT_A,USG_PCT_A,E_USG_PCT_A,E_PACE_A,PACE_A,PACE_PER40_A,POSS_A,PIE_A,TEAM_ID_B,TEAM_NAME_B,TEAM_ABBREVIATION_B,TEAM_CITY_B,MIN_B,E_OFF_RATING_B,OFF_RATING_B,E_DEF_RATING_B,DEF_RATING_B,E_NET_RATING_B,NET_RATING_B,AST_PCT_B,AST_TOV_B,AST_RATIO_B,OREB_PCT_B,DREB_PCT_B,REB_PCT_B,E_TM_TOV_PCT_B,TM_TOV_PCT_B,EFG_PCT_B,TS_PCT_B,USG_PCT_B,E_USG_PCT_B,E_PACE_B,PACE_B,PACE_PER40_B,POSS_B,PIE_B,Unnamed: 0.1
445,22200223,1610612765,Pistons,DET,Detroit,240:00,89.6,93.8,96.4,99.0,-6.8,-5.2,0.455,1.15,11.9,0.254,0.7,0.459,12.8,13.4,0.409,0.462,1.0,0.195,100.56,97.0,80.83,97,0.456,1610612746,Clippers,LAC,LA,240:00,96.4,99.0,89.6,93.8,6.8,5.2,0.515,0.94,13.4,0.3,0.746,0.541,18.08,18.6,0.475,0.524,1.0,0.199,100.56,97.0,80.83,97,0.544,207.0
446,22200224,1610612764,Wizards,WAS,Washington,265:00,97.1,99.1,94.6,98.1,2.6,0.9,0.805,2.06,21.8,0.193,0.742,0.488,14.524,14.8,0.505,0.524,1.0,0.196,100.64,97.81,81.51,108,0.521,1610612748,Heat,MIA,Miami,265:00,94.6,98.1,97.1,99.1,-2.6,-0.9,0.657,2.3,15.9,0.258,0.807,0.512,8.922,9.3,0.413,0.473,1.0,0.197,100.64,97.81,81.51,108,0.479,208.0
447,22200224,1610612748,Heat,MIA,Miami,265:00,94.6,98.1,97.1,99.1,-2.6,-0.9,0.657,2.3,15.9,0.258,0.807,0.512,8.922,9.3,0.413,0.473,1.0,0.197,100.64,97.81,81.51,108,0.479,1610612764,Wizards,WAS,Washington,265:00,97.1,99.1,94.6,98.1,2.6,0.9,0.805,2.06,21.8,0.193,0.742,0.488,14.524,14.8,0.505,0.524,1.0,0.196,100.64,97.81,81.51,108,0.521,209.0
448,22200225,1610612739,Cavaliers,CLE,Cleveland,290:00,110.8,113.8,102.0,105.2,8.8,8.6,0.51,1.25,16.5,0.213,0.667,0.483,16.795,17.2,0.576,0.622,1.0,0.195,98.75,96.0,80.0,116,0.587,1610612766,Hornets,CHA,Charlotte,290:00,102.0,105.2,110.8,113.8,-8.8,-8.6,0.545,1.5,14.9,0.333,0.787,0.517,13.382,13.8,0.464,0.506,1.0,0.195,98.75,96.0,80.0,116,0.413,210.0
449,22200225,1610612766,Hornets,CHA,Charlotte,290:00,102.0,105.2,110.8,113.8,-8.8,-8.6,0.545,1.5,14.9,0.333,0.787,0.517,13.382,13.8,0.464,0.506,1.0,0.195,98.75,96.0,80.0,116,0.413,1610612739,Cavaliers,CLE,Cleveland,290:00,110.8,113.8,102.0,105.2,8.8,8.6,0.51,1.25,16.5,0.213,0.667,0.483,16.795,17.2,0.576,0.622,1.0,0.195,98.75,96.0,80.0,116,0.587,211.0
450,22200226,1610612755,76ers,PHI,Philadelphia,240:00,108.4,107.8,97.9,100.0,10.6,7.8,0.7,1.56,20.7,0.163,0.774,0.5,17.744,17.6,0.596,0.615,1.0,0.199,102.84,102.0,85.0,102,0.555,1610612749,Bucks,MIL,Milwaukee,240:00,97.9,100.0,108.4,107.8,-10.6,-7.8,0.537,1.69,16.4,0.226,0.837,0.5,12.471,12.7,0.522,0.514,1.0,0.198,102.84,102.0,85.0,102,0.445,212.0
451,22200226,1610612749,Bucks,MIL,Milwaukee,240:00,97.9,100.0,108.4,107.8,-10.6,-7.8,0.537,1.69,16.4,0.226,0.837,0.5,12.471,12.7,0.522,0.514,1.0,0.198,102.84,102.0,85.0,102,0.445,1610612755,76ers,PHI,Philadelphia,240:00,108.4,107.8,97.9,100.0,10.6,7.8,0.7,1.56,20.7,0.163,0.774,0.5,17.744,17.6,0.596,0.615,1.0,0.199,102.84,102.0,85.0,102,0.555,213.0
452,22200227,1610612753,Magic,ORL,Orlando,240:00,111.7,111.3,109.2,109.2,2.5,2.2,0.658,1.56,19.6,0.175,0.7,0.467,16.549,16.5,0.571,0.623,1.0,0.201,97.34,97.5,81.25,97,0.492,1610612741,Bulls,CHI,Chicago,240:00,109.2,109.2,111.7,111.3,-2.5,-2.2,0.659,2.45,19.6,0.3,0.825,0.533,11.224,11.2,0.489,0.535,1.0,0.198,97.34,97.5,81.25,98,0.508,214.0
453,22200227,1610612741,Bulls,CHI,Chicago,240:00,109.2,109.2,111.7,111.3,-2.5,-2.2,0.659,2.45,19.6,0.3,0.825,0.533,11.224,11.2,0.489,0.535,1.0,0.198,97.34,97.5,81.25,98,0.508,1610612753,Magic,ORL,Orlando,240:00,111.7,111.3,109.2,109.2,2.5,2.2,0.658,1.56,19.6,0.175,0.7,0.467,16.549,16.5,0.571,0.623,1.0,0.201,97.34,97.5,81.25,97,0.492,215.0
454,22200228,1610612754,Pacers,IND,Indiana,240:00,102.2,102.1,88.3,93.8,13.9,8.2,0.758,1.67,18.7,0.269,0.638,0.464,15.483,15.5,0.476,0.527,1.0,0.2,99.98,97.0,80.83,97,0.593,1610612745,Rockets,HOU,Houston,240:00,88.3,93.8,102.2,102.1,-13.9,-8.2,0.517,0.88,11.4,0.362,0.731,0.536,16.492,17.5,0.372,0.455,1.0,0.198,99.98,97.0,80.83,97,0.407,216.0
