,GAME_ID,TEAM_ID_A,TEAM_NAME_A,TEAM_ABBREVIATION_A,TEAM_CITY_A,MIN_A,PTS_OFF_TOV_A,PTS_2ND_CHANCE_A,PTS_FB_A,PTS_PAINT_A,OPP_PTS_OFF_TOV_A,OPP_PTS_2ND_CHANCE_A,OPP_PTS_FB_A,OPP_PTS_PAINT_A,BLK_A,BLKA_A,PF_A,PFD_A,TEAM_ID_B,TEAM_NAME_B,TEAM_ABBREVIATION_B,TEAM_CITY_B,MIN_B,PTS_OFF_TOV_B,PTS_2ND_CHANCE_B,PTS_FB_B,PTS_PAINT_B,OPP_PTS_OFF_TOV_B,OPP_PTS_2ND_CHANCE_B,OPP_PTS_FB_B,OPP_PTS_PAINT_B,BLK_B,BLKA_B,PF_B,PFD_B,Unnamed: 0.1
1130,22200566,1610612753,Magic,ORL,Orlando,240:00,6.0,13.0,9.0,48.0,20.0,7.0,9.0,30.0,5,3,22,23,1610612760,Thunder,OKC,Oklahoma City,240:00,20.0,7.0,9.0,30.0,6.0,13.0,9.0,48.0,3,5,23,22,892.0
1131,22200566,1610612760,Thunder,OKC,Oklahoma City,240:00,20.0,7.0,9.0,30.0,6.0,13.0,9.0,48.0,3,5,23,22,1610612753,Magic,ORL,Orlando,240:00,6.0,13.0,9.0,48.0,20.0,7.0,9.0,30.0,5,3,22,23,893.0
1132,22200567,1610612755,76ers,PHI,Philadelphia,265:00,21.0,17.0,18.0,62.0,11.0,19.0,32.0,62.0,7,8,19,18,1610612754,Pacers,IND,Indiana,265:00,11.0,19.0,32.0,62.0,21.0,17.0,18.0,62.0,8,7,18,19,894.0
1133,22200567,1610612754,Pacers,IND,Indiana,265:00,11.0,19.0,32.0,62.0,21.0,17.0,18.0,62.0,8,7,18,19,1610612755,76ers,PHI,Philadelphia,265:00,21.0,17.0,18.0,62.0,11.0,19.0,32.0,62.0,7,8,19,18,895.0
1134,22200568,1610612759,Spurs,SAS,San Antonio,240:00,18.0,8.0,4.0,46.0,15.0,25.0,5.0,52.0,3,6,24,21,1610612752,Knicks,NYK,New York,240:00,15.0,25.0,5.0,52.0,18.0,8.0,4.0,46.0,6,3,21,24,896.0
1135,22200568,1610612752,Knicks,NYK,New York,240:00,15.0,25.0,5.0,52.0,18.0,8.0,4.0,46.0,6,3,21,24,1610612759,Spurs,SAS,San Antonio,240:00,18.0,8.0,4.0,46.0,15.0,25.0,5.0,52.0,3,6,24,21,897.0
1136,22200569,1610612761,Raptors,TOR,Toronto,265:00,32.0,10.0,23.0,46.0,9.0,6.0,16.0,44.0,4,4,23,24,1610612749,Bucks,MIL,Milwaukee,265:00,9.0,6.0,16.0,44.0,32.0,10.0,23.0,46.0,4,4,24,23,898.0
1137,22200569,1610612749,Bucks,MIL,Milwaukee,265:00,9.0,6.0,16.0,44.0,32.0,10.0,23.0,46.0,4,4,24,23,1610612761,Raptors,TOR,Toronto,265:00,32.0,10.0,23.0,46.0,9.0,6.0,16.0,44.0,4,4,23,24,899.0
1138,22200570,1610612741,Bulls,CHI,Chicago,240:00,13.0,8.0,6.0,52.0,13.0,5.0,16.0,48.0,7,7,16,22,1610612751,Nets,BKN,Brooklyn,240:00,13.0,5.0,16.0,48.0,13.0,8.0,6.0,52.0,7,7,22,16,900.0
1139,22200570,1610612751,Nets,BKN,Brooklyn,240:00,13.0,5.0,16.0,48.0,13.0,8.0,6.0,52.0,7,7,22,16,1610612741,Bulls,CHI,Chicago,240:00,13.0,8.0,6.0,52.0,13.0,5.0,16.0,48.0,7,7,16,22,901.0
