,GAME_ID,TEAM_ID_A,TEAM_NAME_A,TEAM_ABBREVIATION_A,TEAM_CITY_A,MIN_A,EFG_PCT_A,FTA_RATE_A,TM_TOV_PCT_A,OREB_PCT_A,OPP_EFG_PCT_A,OPP_FTA_RATE_A,OPP_TOV_PCT_A,OPP_OREB_PCT_A,TEAM_ID_B,TEAM_NAME_B,TEAM_ABBREVIATION_B,TEAM_CITY_B,MIN_B,EFG_PCT_B,FTA_RATE_B,TM_TOV_PCT_B,OREB_PCT_B,OPP_EFG_PCT_B,OPP_FTA_RATE_B,OPP_TOV_PCT_B,OPP_OREB_PCT_B
2,0021700996,1610612743,Nuggets,DEN,Denver,240:00,0.646,0.236,0.081,0.186,0.462,0.286,0.03,0.182,1610612758,Kings,SAC,Sacramento,240:00,0.462,0.286,0.03,0.127,0.646,0.236,0.081,0.209
1,0021700995,1610612762,Jazz,UTA,Utah,240:00,0.479,0.26,0.159,0.304,0.473,0.14,0.128,0.231,1610612740,Pelicans,NOP,New Orleans,240:00,0.473,0.14,0.128,0.192,0.479,0.26,0.159,0.429
2,0021700995,1610612740,Pelicans,NOP,New Orleans,240:00,0.473,0.14,0.128,0.192,0.479,0.26,0.159,0.429,1610612762,Jazz,UTA,Utah,240:00,0.479,0.26,0.159,0.304,0.473,0.14,0.128,0.231
1,0021701000,1610612747,Lakers,LAL,Los Angeles,240:00,0.568,0.208,0.125,0.286,0.534,0.261,0.116,0.188,1610612739,Cavaliers,CLE,Cleveland,240:00,0.534,0.261,0.116,0.146,0.568,0.208,0.125,0.347
2,0021701000,1610612739,Cavaliers,CLE,Cleveland,240:00,0.534,0.261,0.116,0.146,0.568,0.208,0.125,0.347,1610612747,Lakers,LAL,Los Angeles,240:00,0.568,0.208,0.125,0.286,0.534,0.261,0.116,0.188
1,0021700993,1610612741,Bulls,CHI,Chicago,240:00,0.577,0.194,0.051,0.25,0.628,0.268,0.156,0.163,1610612737,Hawks,ATL,Atlanta,240:00,0.628,0.268,0.156,0.116,0.577,0.194,0.051,0.269
2,0021700993,1610612737,Hawks,ATL,Atlanta,240:00,0.628,0.268,0.156,0.116,0.577,0.194,0.051,0.269,1610612741,Bulls,CHI,Chicago,240:00,0.577,0.194,0.051,0.25,0.628,0.268,0.156,0.163
1,0021700998,1610612754,Pacers,IND,Indiana,240:00,0.556,0.123,0.185,0.14,0.494,0.259,0.166,0.292,1610612738,Celtics,BOS,Boston,240:00,0.494,0.259,0.166,0.208,0.556,0.123,0.185,0.233
2,0021700998,1610612738,Celtics,BOS,Boston,240:00,0.494,0.259,0.166,0.208,0.556,0.123,0.185,0.233,1610612754,Pacers,IND,Indiana,240:00,0.556,0.123,0.185,0.14,0.494,0.259,0.166,0.292
1,0021700999,1610612755,76ers,PHI,Philadelphia,240:00,0.574,0.189,0.099,0.24,0.447,0.282,0.179,0.296,1610612751,Nets,BKN,Brooklyn,240:00,0.447,0.282,0.179,0.241,0.574,0.189,0.099,0.32
2,0021700999,1610612751,Nets,BKN,Brooklyn,240:00,0.447,0.282,0.179,0.241,0.574,0.189,0.099,0.32,1610612755,76ers,PHI,Philadelphia,240:00,0.574,0.189,0.099,0.24,0.447,0.282,0.179,0.296
1,0021700992,1610612761,Raptors,TOR,Toronto,240:00,0.591,0.269,0.109,0.298,0.494,0.273,0.099,0.2,1610612752,Knicks,NYK,New York,240:00,0.494,0.273,0.099,0.16,0.591,0.269,0.109,0.34
2,0021700992,1610612752,Knicks,NYK,New York,240:00,0.494,0.273,0.099,0.16,0.591,0.269,0.109,0.34,1610612761,Raptors,TOR,Toronto,240:00,0.591,0.269,0.109,0.298,0.494,0.273,0.099,0.2
1,0021700997,1610612745,Rockets,HOU,Houston,240:00,0.565,0.167,0.116,0.13,0.378,0.191,0.105,0.344,1610612742,Mavericks,DAL,Dallas,240:00,0.378,0.191,0.105,0.279,0.565,0.167,0.116,0.174
2,0021700997,1610612742,Mavericks,DAL,Dallas,240:00,0.378,0.191,0.105,0.279,0.565,0.167,0.116,0.174,1610612745,Rockets,HOU,Houston,240:00,0.565,0.167,0.116,0.13,0.378,0.191,0.105,0.344
1,0021700989,1610612763,Grizzlies,MEM,Memphis,240:00,0.399,0.202,0.145,0.161,0.545,0.455,0.117,0.233,1610612742,Mavericks,DAL,Dallas,240:00,0.545,0.455,0.117,0.209,0.399,0.202,0.145,0.196
2,0021700989,1610612742,Mavericks,DAL,Dallas,240:00,0.545,0.455,0.117,0.209,0.399,0.202,0.145,0.196,1610612763,Grizzlies,MEM,Memphis,240:00,0.399,0.202,0.145,0.161,0.545,0.455,0.117,0.233
1,0021700988,1610612764,Wizards,WAS,Washington,240:00,0.487,0.442,0.152,0.174,0.648,0.239,0.098,0.175,1610612748,Heat,MIA,Miami,240:00,0.648,0.239,0.098,0.125,0.487,0.442,0.152,0.174
2,0021700988,1610612748,Heat,MIA,Miami,240:00,0.648,0.239,0.098,0.125,0.487,0.442,0.152,0.174,1610612764,Wizards,WAS,Washington,240:00,0.487,0.442,0.152,0.174,0.648,0.239,0.098,0.175
1,0021700987,1610612756,Suns,PHX,Phoenix,240:00,0.614,0.229,0.148,0.111,0.58,0.31,0.116,0.289,1610612766,Hornets,CHA,Charlotte,240:00,0.58,0.31,0.116,0.156,0.614,0.229,0.148,0.178
2,0021700987,1610612766,Hornets,CHA,Charlotte,240:00,0.58,0.31,0.116,0.156,0.614,0.229,0.148,0.178,1610612756,Suns,PHX,Phoenix,240:00,0.614,0.229,0.148,0.111,0.58,0.31,0.116,0.289
1,0021700991,1610612753,Magic,ORL,Orlando,240:00,0.5,0.321,0.147,0.188,0.571,0.359,0.154,0.25,1610612746,Clippers,LAC,LA,240:00,0.571,0.359,0.154,0.2,0.5,0.321,0.147,0.25
2,0021700991,1610612746,Clippers,LAC,LA,240:00,0.571,0.359,0.154,0.2,0.5,0.321,0.147,0.25,1610612753,Magic,ORL,Orlando,240:00,0.5,0.321,0.147,0.188,0.571,0.359,0.154,0.25
1,0021700990,1610612759,Spurs,SAS,San Antonio,240:00,0.523,0.081,0.153,0.125,0.518,0.282,0.151,0.269,1610612760,Thunder,OKC,Oklahoma City,240:00,0.518,0.282,0.151,0.212,0.523,0.081,0.153,0.146
2,0021700990,1610612760,Thunder,OKC,Oklahoma City,240:00,0.518,0.282,0.151,0.212,0.523,0.081,0.153,0.146,1610612759,Spurs,SAS,San Antonio,240:00,0.523,0.081,0.153,0.125,0.518,0.282,0.151,0.269
1,0021700979,1610612761,Raptors,TOR,Toronto,240:00,0.571,0.165,0.177,0.267,0.549,0.284,0.143,0.244,1610612745,Rockets,HOU,Houston,240:00,0.549,0.284,0.143,0.156,0.571,0.165,0.177,0.333
