,GAME_ID,TEAM_ID_A,TEAM_NAME_A,TEAM_ABBREVIATION_A,TEAM_CITY_A,MIN_A,PTS_OFF_TOV_A,PTS_2ND_CHANCE_A,PTS_FB_A,PTS_PAINT_A,OPP_PTS_OFF_TOV_A,OPP_PTS_2ND_CHANCE_A,OPP_PTS_FB_A,OPP_PTS_PAINT_A,BLK_A,BLKA_A,PF_A,PFD_A,TEAM_ID_B,TEAM_NAME_B,TEAM_ABBREVIATION_B,TEAM_CITY_B,MIN_B,PTS_OFF_TOV_B,PTS_2ND_CHANCE_B,PTS_FB_B,PTS_PAINT_B,OPP_PTS_OFF_TOV_B,OPP_PTS_2ND_CHANCE_B,OPP_PTS_FB_B,OPP_PTS_PAINT_B,BLK_B,BLKA_B,PF_B,PFD_B
1,0021900269,1610612761,Raptors,TOR,Toronto,240:00,18.0,13.0,18.0,38.0,13.0,14.0,10.0,34.0,4,11,20,19,1610612753,Magic,ORL,Orlando,240:00,13.0,14.0,10.0,34.0,18.0,13.0,18.0,38.0,11,4,19,20
2,0021900269,1610612753,Magic,ORL,Orlando,240:00,13.0,14.0,10.0,34.0,18.0,13.0,18.0,38.0,11,4,19,20,1610612761,Raptors,TOR,Toronto,240:00,18.0,13.0,18.0,38.0,13.0,14.0,10.0,34.0,4,11,20,19
1,0021900270,1610612749,Bucks,MIL,Milwaukee,240:00,17.0,14.0,13.0,54.0,14.0,3.0,8.0,44.0,4,1,15,22,1610612739,Cavaliers,CLE,Cleveland,240:00,14.0,3.0,8.0,44.0,17.0,14.0,13.0,54.0,1,4,22,15
2,0021900270,1610612739,Cavaliers,CLE,Cleveland,240:00,14.0,3.0,8.0,44.0,17.0,14.0,13.0,54.0,1,4,22,15,1610612749,Bucks,MIL,Milwaukee,240:00,17.0,14.0,13.0,54.0,14.0,3.0,8.0,44.0,4,1,15,22
1,0021900271,1610612755,76ers,PHI,Philadelphia,240:00,14.0,12.0,6.0,36.0,18.0,11.0,5.0,42.0,10,4,23,33,1610612752,Knicks,NYK,New York,240:00,18.0,11.0,5.0,42.0,14.0,12.0,6.0,36.0,4,10,33,23
2,0021900271,1610612752,Knicks,NYK,New York,240:00,18.0,11.0,5.0,42.0,14.0,12.0,6.0,36.0,4,10,33,23,1610612755,76ers,PHI,Philadelphia,240:00,14.0,12.0,6.0,36.0,18.0,11.0,5.0,42.0,10,4,23,33
1,0021900272,1610612754,Pacers,IND,Indiana,265:00,23.0,13.0,17.0,44.0,18.0,14.0,10.0,56.0,6,3,20,27,1610612737,Hawks,ATL,Atlanta,265:00,18.0,14.0,10.0,56.0,23.0,13.0,17.0,44.0,3,6,27,20
2,0021900272,1610612737,Hawks,ATL,Atlanta,265:00,18.0,14.0,10.0,56.0,23.0,13.0,17.0,44.0,3,6,27,20,1610612754,Pacers,IND,Indiana,265:00,23.0,13.0,17.0,44.0,18.0,14.0,10.0,56.0,6,3,20,27
1,0021900273,1610612748,Heat,MIA,Miami,240:00,14.0,11.0,8.0,54.0,15.0,11.0,7.0,34.0,3,3,30,23,1610612744,Warriors,GSW,Golden State,240:00,15.0,11.0,7.0,34.0,14.0,11.0,8.0,54.0,3,3,23,30
2,0021900273,1610612744,Warriors,GSW,Golden State,240:00,15.0,11.0,7.0,34.0,14.0,11.0,8.0,54.0,3,3,23,30,1610612748,Heat,MIA,Miami,240:00,14.0,11.0,8.0,54.0,15.0,11.0,7.0,34.0,3,3,30,23
1,0021900274,1610612762,Jazz,UTA,Utah,240:00,12.0,17.0,8.0,48.0,2.0,21.0,17.0,52.0,2,8,15,17,1610612763,Grizzlies,MEM,Memphis,240:00,2.0,21.0,17.0,52.0,12.0,17.0,8.0,48.0,8,2,17,15
2,0021900274,1610612763,Grizzlies,MEM,Memphis,240:00,2.0,21.0,17.0,52.0,12.0,17.0,8.0,48.0,8,2,17,15,1610612762,Jazz,UTA,Utah,240:00,12.0,17.0,8.0,48.0,2.0,21.0,17.0,52.0,2,8,15,17
1,0021900275,1610612760,Thunder,OKC,Oklahoma City,240:00,18.0,7.0,4.0,50.0,16.0,8.0,9.0,52.0,8,3,17,12,1610612740,Pelicans,NOP,New Orleans,240:00,16.0,8.0,9.0,52.0,18.0,7.0,4.0,50.0,3,8,12,17
2,0021900275,1610612740,Pelicans,NOP,New Orleans,240:00,16.0,8.0,9.0,52.0,18.0,7.0,4.0,50.0,3,8,12,17,1610612760,Thunder,OKC,Oklahoma City,240:00,18.0,7.0,4.0,50.0,16.0,8.0,9.0,52.0,8,3,17,12
1,0021900276,1610612759,Spurs,SAS,San Antonio,240:00,16.0,11.0,22.0,38.0,15.0,14.0,6.0,44.0,8,5,15,17,1610612746,Clippers,LAC,LA,240:00,15.0,14.0,6.0,44.0,16.0,11.0,22.0,38.0,5,8,17,15
2,0021900276,1610612746,Clippers,LAC,LA,240:00,15.0,14.0,6.0,44.0,16.0,11.0,22.0,38.0,5,8,17,15,1610612759,Spurs,SAS,San Antonio,240:00,16.0,11.0,22.0,38.0,15.0,14.0,6.0,44.0,8,5,15,17
1,0021900277,1610612756,Suns,PHX,Phoenix,240:00,12.0,20.0,8.0,44.0,8.0,12.0,12.0,32.0,3,3,29,24,1610612742,Mavericks,DAL,Dallas,240:00,8.0,12.0,12.0,32.0,12.0,20.0,8.0,44.0,3,3,24,29
2,0021900277,1610612742,Mavericks,DAL,Dallas,240:00,8.0,12.0,12.0,32.0,12.0,20.0,8.0,44.0,3,3,24,29,1610612756,Suns,PHX,Phoenix,240:00,12.0,20.0,8.0,44.0,8.0,12.0,12.0,32.0,3,3,29,24
1,0021900278,1610612757,Trail Blazers,POR,Portland,240:00,3.0,6.0,10.0,42.0,18.0,18.0,19.0,40.0,11,2,21,22,1610612741,Bulls,CHI,Chicago,240:00,18.0,18.0,19.0,40.0,3.0,6.0,10.0,42.0,2,11,22,21
2,0021900278,1610612741,Bulls,CHI,Chicago,240:00,18.0,18.0,19.0,40.0,3.0,6.0,10.0,42.0,2,11,22,21,1610612757,Trail Blazers,POR,Portland,240:00,3.0,6.0,10.0,42.0,18.0,18.0,19.0,40.0,11,2,21,22
1,0021900279,1610612764,Wizards,WAS,Washington,240:00,17.0,10.0,12.0,36.0,18.0,22.0,28.0,56.0,2,8,23,20,1610612747,Lakers,LAL,Los Angeles,240:00,18.0,22.0,28.0,56.0,17.0,10.0,12.0,36.0,8,2,20,23
2,0021900279,1610612747,Lakers,LAL,Los Angeles,240:00,18.0,22.0,28.0,56.0,17.0,10.0,12.0,36.0,8,2,20,23,1610612764,Wizards,WAS,Washington,240:00,17.0,10.0,12.0,36.0,18.0,22.0,28.0,56.0,2,8,23,20
1,0021900280,1610612758,Kings,SAC,Sacramento,265:00,18.0,18.0,8.0,52.0,18.0,4.0,7.0,46.0,4,5,23,21,1610612743,Nuggets,DEN,Denver,265:00,18.0,4.0,7.0,46.0,18.0,18.0,8.0,52.0,5,4,21,23
2,0021900280,1610612743,Nuggets,DEN,Denver,265:00,18.0,4.0,7.0,46.0,18.0,18.0,8.0,52.0,5,4,21,23,1610612758,Kings,SAC,Sacramento,265:00,18.0,18.0,8.0,52.0,18.0,4.0,7.0,46.0,4,5,23,21
1,0021900281,1610612755,76ers,PHI,Philadelphia,240:00,23.0,9.0,11.0,46.0,16.0,8.0,14.0,44.0,5,3,16,24,1610612754,Pacers,IND,Indiana,240:00,16.0,8.0,14.0,44.0,23.0,9.0,11.0,46.0,3,5,24,16
2,0021900281,1610612754,Pacers,IND,Indiana,240:00,16.0,8.0,14.0,44.0,23.0,9.0,11.0,46.0,3,5,24,16,1610612755,76ers,PHI,Philadelphia,240:00,23.0,9.0,11.0,46.0,16.0,8.0,14.0,44.0,5,3,16,24
1,0021900282,1610612745,Rockets,HOU,Houston,240:00,19.0,20.0,12.0,52.0,17.0,3.0,16.0,46.0,2,2,23,23,1610612737,Hawks,ATL,Atlanta,240:00,17.0,3.0,16.0,46.0,19.0,20.0,12.0,52.0,2,2,23,23
2,0021900282,1610612737,Hawks,ATL,Atlanta,240:00,17.0,3.0,16.0,46.0,19.0,20.0,12.0,52.0,2,2,23,23,1610612745,Rockets,HOU,Houston,240:00,19.0,20.0,12.0,52.0,17.0,3.0,16.0,46.0,2,2,23,23
1,0021900283,1610612749,Bucks,MIL,Milwaukee,240:00,19.0,6.0,34.0,54.0,8.0,18.0,17.0,36.0,3,1,13,18,1610612766,Hornets,CHA,Charlotte,240:00,8.0,18.0,17.0,36.0,19.0,6.0,34.0,54.0,1,3,18,13
2,0021900283,1610612766,Hornets,CHA,Charlotte,240:00,8.0,18.0,17.0,36.0,19.0,6.0,34.0,54.0,1,3,18,13,1610612749,Bucks,MIL,Milwaukee,240:00,19.0,6.0,34.0,54.0,8.0,18.0,17.0,36.0,3,1,13,18
1,0021900284,1610612748,Heat,MIA,Miami,240:00,11.0,21.0,5.0,40.0,7.0,10.0,13.0,50.0,2,5,17,21,1610612751,Nets,BKN,Brooklyn,240:00,7.0,10.0,13.0,50.0,11.0,21.0,5.0,40.0,5,2,21,17
2,0021900284,1610612751,Nets,BKN,Brooklyn,240:00,7.0,10.0,13.0,50.0,11.0,21.0,5.0,40.0,5,2,21,17,1610612748,Heat,MIA,Miami,240:00,11.0,21.0,5.0,40.0,7.0,10.0,13.0,50.0,2,5,17,21
1,0021900285,1610612752,Knicks,NYK,New York,240:00,12.0,12.0,10.0,42.0,20.0,17.0,17.0,42.0,6,7,25,28,1610612738,Celtics,BOS,Boston,240:00,20.0,17.0,17.0,42.0,12.0,12.0,10.0,42.0,7,6,28,25
2,0021900285,1610612738,Celtics,BOS,Boston,240:00,20.0,17.0,17.0,42.0,12.0,12.0,10.0,42.0,7,6,28,25,1610612752,Knicks,NYK,New York,240:00,12.0,12.0,10.0,42.0,20.0,17.0,17.0,42.0,6,7,25,28
1,0021900286,1610612750,Timberwolves,MIN,Minnesota,240:00,14.0,14.0,9.0,40.0,19.0,17.0,13.0,40.0,6,3,21,26,1610612763,Grizzlies,MEM,Memphis,240:00,19.0,17.0,13.0,40.0,14.0,14.0,9.0,40.0,3,6,26,21
2,0021900286,1610612763,Grizzlies,MEM,Memphis,240:00,19.0,17.0,13.0,40.0,14.0,14.0,9.0,40.0,3,6,26,21,1610612750,Timberwolves,MIN,Minnesota,240:00,14.0,14.0,9.0,40.0,19.0,17.0,13.0,40.0,6,3,21,26
1,0021900287,1610612747,Lakers,LAL,Los Angeles,240:00,12.0,10.0,28.0,58.0,20.0,23.0,19.0,46.0,3,1,14,20,1610612742,Mavericks,DAL,Dallas,240:00,20.0,23.0,19.0,46.0,12.0,10.0,28.0,58.0,1,3,20,14
2,0021900287,1610612742,Mavericks,DAL,Dallas,240:00,20.0,23.0,19.0,46.0,12.0,10.0,28.0,58.0,1,3,20,14,1610612747,Lakers,LAL,Los Angeles,240:00,12.0,10.0,28.0,58.0,20.0,23.0,19.0,46.0,3,1,14,20
1,0021900288,1610612759,Spurs,SAS,San Antonio,240:00,16.0,10.0,13.0,44.0,15.0,19.0,12.0,70.0,6,5,15,14,1610612765,Pistons,DET,Detroit,240:00,15.0,19.0,12.0,70.0,16.0,10.0,13.0,44.0,5,6,14,15
2,0021900288,1610612765,Pistons,DET,Detroit,240:00,15.0,19.0,12.0,70.0,16.0,10.0,13.0,44.0,5,6,14,15,1610612759,Spurs,SAS,San Antonio,240:00,16.0,10.0,13.0,44.0,15.0,19.0,12.0,70.0,6,5,15,14
1,0021900289,1610612760,Thunder,OKC,Oklahoma City,240:00,13.0,10.0,2.0,44.0,13.0,3.0,23.0,34.0,3,7,14,22,1610612740,Pelicans,NOP,New Orleans,240:00,13.0,3.0,23.0,34.0,13.0,10.0,2.0,44.0,7,3,22,14
2,0021900289,1610612740,Pelicans,NOP,New Orleans,240:00,13.0,3.0,23.0,34.0,13.0,10.0,2.0,44.0,7,3,22,14,1610612760,Thunder,OKC,Oklahoma City,240:00,13.0,10.0,2.0,44.0,13.0,3.0,23.0,34.0,3,7,14,22
1,0021900290,1610612753,Magic,ORL,Orlando,240:00,21.0,15.0,15.0,42.0,12.0,16.0,18.0,48.0,8,5,20,17,1610612744,Warriors,GSW,Golden State,240:00,12.0,16.0,18.0,48.0,21.0,15.0,15.0,42.0,5,8,17,20
2,0021900290,1610612744,Warriors,GSW,Golden State,240:00,12.0,16.0,18.0,48.0,21.0,15.0,15.0,42.0,5,8,17,20,1610612753,Magic,ORL,Orlando,240:00,21.0,15.0,15.0,42.0,12.0,16.0,18.0,48.0,8,5,20,17
1,0021900291,1610612762,Jazz,UTA,Utah,240:00,18.0,21.0,15.0,46.0,21.0,7.0,21.0,46.0,3,8,17,24,1610612761,Raptors,TOR,Toronto,240:00,21.0,7.0,21.0,46.0,18.0,21.0,15.0,46.0,8,3,24,17
2,0021900291,1610612761,Raptors,TOR,Toronto,240:00,21.0,7.0,21.0,46.0,18.0,21.0,15.0,46.0,8,3,24,17,1610612762,Jazz,UTA,Utah,240:00,18.0,21.0,15.0,46.0,21.0,7.0,21.0,46.0,3,8,17,24
1,0021900292,1610612764,Wizards,WAS,Washington,240:00,21.0,17.0,22.0,46.0,20.0,22.0,17.0,66.0,1,5,29,25,1610612746,Clippers,LAC,LA,240:00,20.0,22.0,17.0,66.0,21.0,17.0,22.0,46.0,5,1,25,29
2,0021900292,1610612746,Clippers,LAC,LA,240:00,20.0,22.0,17.0,66.0,21.0,17.0,22.0,46.0,5,1,25,29,1610612764,Wizards,WAS,Washington,240:00,21.0,17.0,22.0,46.0,20.0,22.0,17.0,66.0,1,5,29,25
1,0021900293,1610612756,Suns,PHX,Phoenix,240:00,22.0,12.0,4.0,54.0,8.0,15.0,11.0,60.0,7,7,21,23,1610612766,Hornets,CHA,Charlotte,240:00,8.0,15.0,11.0,60.0,22.0,12.0,4.0,54.0,7,7,23,21
2,0021900293,1610612766,Hornets,CHA,Charlotte,240:00,8.0,15.0,11.0,60.0,22.0,12.0,4.0,54.0,7,7,23,21,1610612756,Suns,PHX,Phoenix,240:00,22.0,12.0,4.0,54.0,8.0,15.0,11.0,60.0,7,7,21,23
1,0021900294,1610612762,Jazz,UTA,Utah,240:00,12.0,6.0,15.0,60.0,19.0,13.0,17.0,36.0,8,3,26,22,1610612755,76ers,PHI,Philadelphia,240:00,19.0,13.0,17.0,36.0,12.0,6.0,15.0,60.0,3,8,22,26
2,0021900294,1610612755,76ers,PHI,Philadelphia,240:00,19.0,13.0,17.0,36.0,12.0,6.0,15.0,60.0,3,8,22,26,1610612762,Jazz,UTA,Utah,240:00,12.0,6.0,15.0,60.0,19.0,13.0,17.0,36.0,8,3,26,22
1,0021900295,1610612744,Warriors,GSW,Golden State,240:00,11.0,11.0,2.0,54.0,25.0,16.0,17.0,60.0,8,4,20,12,1610612737,Hawks,ATL,Atlanta,240:00,25.0,16.0,17.0,60.0,11.0,11.0,2.0,54.0,4,8,12,20
2,0021900295,1610612737,Hawks,ATL,Atlanta,240:00,25.0,16.0,17.0,60.0,11.0,11.0,2.0,54.0,4,8,12,20,1610612744,Warriors,GSW,Golden State,240:00,11.0,11.0,2.0,54.0,25.0,16.0,17.0,60.0,8,4,20,12
1,0021900296,1610612763,Grizzlies,MEM,Memphis,240:00,27.0,12.0,6.0,54.0,9.0,13.0,10.0,32.0,6,2,20,22,1610612754,Pacers,IND,Indiana,240:00,9.0,13.0,10.0,32.0,27.0,12.0,6.0,54.0,2,6,22,20
2,0021900296,1610612754,Pacers,IND,Indiana,240:00,9.0,13.0,10.0,32.0,27.0,12.0,6.0,54.0,2,6,22,20,1610612763,Grizzlies,MEM,Memphis,240:00,27.0,12.0,6.0,54.0,9.0,13.0,10.0,32.0,6,2,20,22
1,0021900297,1610612752,Knicks,NYK,New York,240:00,18.0,3.0,17.0,30.0,15.0,11.0,29.0,54.0,7,4,21,23,1610612749,Bucks,MIL,Milwaukee,240:00,15.0,11.0,29.0,54.0,18.0,3.0,17.0,30.0,4,7,23,21
2,0021900297,1610612749,Bucks,MIL,Milwaukee,240:00,15.0,11.0,29.0,54.0,18.0,3.0,17.0,30.0,4,7,23,21,1610612752,Knicks,NYK,New York,240:00,18.0,3.0,17.0,30.0,15.0,11.0,29.0,54.0,7,4,21,23
1,0021900298,1610612758,Kings,SAC,Sacramento,240:00,22.0,11.0,11.0,46.0,23.0,8.0,7.0,40.0,5,0,26,20,1610612741,Bulls,CHI,Chicago,240:00,23.0,8.0,7.0,40.0,22.0,11.0,11.0,46.0,0,5,20,26
2,0021900298,1610612741,Bulls,CHI,Chicago,240:00,23.0,8.0,7.0,40.0,22.0,11.0,11.0,46.0,0,5,20,26,1610612758,Kings,SAC,Sacramento,240:00,22.0,11.0,11.0,46.0,23.0,8.0,7.0,40.0,5,0,26,20
1,0021900299,1610612765,Pistons,DET,Detroit,240:00,22.0,10.0,17.0,60.0,13.0,11.0,10.0,54.0,7,6,16,11,1610612739,Cavaliers,CLE,Cleveland,240:00,13.0,11.0,10.0,54.0,22.0,10.0,17.0,60.0,6,7,11,16
2,0021900299,1610612739,Cavaliers,CLE,Cleveland,240:00,13.0,11.0,10.0,54.0,22.0,10.0,17.0,60.0,6,7,11,16,1610612765,Pistons,DET,Detroit,240:00,22.0,10.0,17.0,60.0,13.0,11.0,10.0,54.0,7,6,16,11
1,0021900300,1610612764,Wizards,WAS,Washington,240:00,21.0,8.0,8.0,60.0,16.0,11.0,0.0,42.0,3,4,23,18,1610612753,Magic,ORL,Orlando,240:00,16.0,11.0,0.0,42.0,21.0,8.0,8.0,60.0,4,3,18,23
2,0021900300,1610612753,Magic,ORL,Orlando,240:00,16.0,11.0,0.0,42.0,21.0,8.0,8.0,60.0,4,3,18,23,1610612764,Wizards,WAS,Washington,240:00,21.0,8.0,8.0,60.0,16.0,11.0,0.0,42.0,3,4,23,18
1,0021900301,1610612761,Raptors,TOR,Toronto,265:00,10.0,13.0,17.0,44.0,13.0,15.0,13.0,50.0,4,7,20,27,1610612748,Heat,MIA,Miami,265:00,13.0,15.0,13.0,50.0,10.0,13.0,17.0,44.0,7,4,27,20
2,0021900301,1610612748,Heat,MIA,Miami,265:00,13.0,15.0,13.0,50.0,10.0,13.0,17.0,44.0,7,4,27,20,1610612761,Raptors,TOR,Toronto,265:00,10.0,13.0,17.0,44.0,13.0,15.0,13.0,50.0,4,7,20,27
1,0021900302,1610612740,Pelicans,NOP,New Orleans,240:00,10.0,8.0,12.0,48.0,18.0,23.0,8.0,34.0,4,8,19,14,1610612742,Mavericks,DAL,Dallas,240:00,18.0,23.0,8.0,34.0,10.0,8.0,12.0,48.0,8,4,14,19
2,0021900302,1610612742,Mavericks,DAL,Dallas,240:00,18.0,23.0,8.0,34.0,10.0,8.0,12.0,48.0,8,4,14,19,1610612740,Pelicans,NOP,New Orleans,240:00,10.0,8.0,12.0,48.0,18.0,23.0,8.0,34.0,4,8,19,14
1,0021900303,1610612759,Spurs,SAS,San Antonio,290:00,14.0,14.0,17.0,66.0,16.0,26.0,18.0,44.0,8,7,27,30,1610612745,Rockets,HOU,Houston,290:00,16.0,26.0,18.0,44.0,14.0,14.0,17.0,66.0,7,8,30,27
2,0021900303,1610612745,Rockets,HOU,Houston,290:00,16.0,26.0,18.0,44.0,14.0,14.0,17.0,66.0,7,8,30,27,1610612759,Spurs,SAS,San Antonio,290:00,14.0,14.0,17.0,66.0,16.0,26.0,18.0,44.0,8,7,27,30
1,0021900304,1610612747,Lakers,LAL,Los Angeles,240:00,9.0,18.0,22.0,52.0,20.0,11.0,6.0,44.0,5,4,23,25,1610612743,Nuggets,DEN,Denver,240:00,20.0,11.0,6.0,44.0,9.0,18.0,22.0,52.0,4,5,25,23
2,0021900304,1610612743,Nuggets,DEN,Denver,240:00,20.0,11.0,6.0,44.0,9.0,18.0,22.0,52.0,4,5,25,23,1610612747,Lakers,LAL,Los Angeles,240:00,9.0,18.0,22.0,52.0,20.0,11.0,6.0,44.0,5,4,23,25
1,0021900305,1610612757,Trail Blazers,POR,Portland,240:00,9.0,8.0,17.0,46.0,15.0,15.0,15.0,46.0,6,3,23,15,1610612746,Clippers,LAC,LA,240:00,15.0,15.0,15.0,46.0,9.0,8.0,17.0,46.0,3,6,15,23
2,0021900305,1610612746,Clippers,LAC,LA,240:00,15.0,15.0,15.0,46.0,9.0,8.0,17.0,46.0,3,6,15,23,1610612757,Trail Blazers,POR,Portland,240:00,9.0,8.0,17.0,46.0,15.0,15.0,15.0,46.0,6,3,23,15
1,0021900306,1610612744,Warriors,GSW,Golden State,240:00,17.0,9.0,9.0,44.0,23.0,9.0,12.0,38.0,3,7,12,20,1610612766,Hornets,CHA,Charlotte,240:00,23.0,9.0,12.0,38.0,17.0,9.0,9.0,44.0,7,3,20,12
2,0021900306,1610612766,Hornets,CHA,Charlotte,240:00,23.0,9.0,12.0,38.0,17.0,9.0,9.0,44.0,7,3,20,12,1610612744,Warriors,GSW,Golden State,240:00,17.0,9.0,9.0,44.0,23.0,9.0,12.0,38.0,3,7,12,20
1,0021900307,1610612749,Bucks,MIL,Milwaukee,240:00,17.0,17.0,10.0,54.0,13.0,10.0,13.0,54.0,8,3,18,19,1610612765,Pistons,DET,Detroit,240:00,13.0,10.0,13.0,54.0,17.0,17.0,10.0,54.0,3,8,19,18
2,0021900307,1610612765,Pistons,DET,Detroit,240:00,13.0,10.0,13.0,54.0,17.0,17.0,10.0,54.0,3,8,19,18,1610612749,Bucks,MIL,Milwaukee,240:00,17.0,17.0,10.0,54.0,13.0,10.0,13.0,54.0,8,3,18,19
1,0021900308,1610612756,Suns,PHX,Phoenix,240:00,18.0,16.0,18.0,48.0,18.0,21.0,9.0,50.0,0,7,20,19,1610612753,Magic,ORL,Orlando,240:00,18.0,21.0,9.0,50.0,18.0,16.0,18.0,48.0,7,0,19,20
2,0021900308,1610612753,Magic,ORL,Orlando,240:00,18.0,21.0,9.0,50.0,18.0,16.0,18.0,48.0,7,0,19,20,1610612756,Suns,PHX,Phoenix,240:00,18.0,16.0,18.0,48.0,18.0,21.0,9.0,50.0,0,7,20,19
1,0021900309,1610612751,Nets,BKN,Brooklyn,240:00,20.0,28.0,13.0,66.0,17.0,20.0,7.0,70.0,6,9,20,19,1610612737,Hawks,ATL,Atlanta,240:00,17.0,20.0,7.0,70.0,20.0,28.0,13.0,66.0,9,6,19,20
2,0021900309,1610612737,Hawks,ATL,Atlanta,240:00,17.0,20.0,7.0,70.0,20.0,28.0,13.0,66.0,9,6,19,20,1610612751,Nets,BKN,Brooklyn,240:00,20.0,28.0,13.0,66.0,17.0,20.0,7.0,70.0,6,9,20,19
1,0021900310,1610612748,Heat,MIA,Miami,240:00,14.0,9.0,13.0,28.0,26.0,17.0,13.0,30.0,2,8,25,20,1610612738,Celtics,BOS,Boston,240:00,26.0,17.0,13.0,30.0,14.0,9.0,13.0,28.0,8,2,20,25
2,0021900310,1610612738,Celtics,BOS,Boston,240:00,26.0,17.0,13.0,30.0,14.0,9.0,13.0,28.0,8,2,20,25,1610612748,Heat,MIA,Miami,240:00,14.0,9.0,13.0,28.0,26.0,17.0,13.0,30.0,2,8,25,20
1,0021900311,1610612763,Grizzlies,MEM,Memphis,240:00,20.0,22.0,7.0,56.0,26.0,9.0,14.0,32.0,6,13,28,22,1610612741,Bulls,CHI,Chicago,240:00,26.0,9.0,14.0,32.0,20.0,22.0,7.0,56.0,13,6,22,28
2,0021900311,1610612741,Bulls,CHI,Chicago,240:00,26.0,9.0,14.0,32.0,20.0,22.0,7.0,56.0,13,6,22,28,1610612763,Grizzlies,MEM,Memphis,240:00,20.0,22.0,7.0,56.0,26.0,9.0,14.0,32.0,6,13,28,22
1,0021900312,1610612760,Thunder,OKC,Oklahoma City,240:00,15.0,18.0,7.0,60.0,15.0,12.0,8.0,48.0,5,1,19,21,1610612754,Pacers,IND,Indiana,240:00,15.0,12.0,8.0,48.0,15.0,18.0,7.0,60.0,1,5,21,19
2,0021900312,1610612754,Pacers,IND,Indiana,240:00,15.0,12.0,8.0,48.0,15.0,18.0,7.0,60.0,1,5,21,19,1610612760,Thunder,OKC,Oklahoma City,240:00,15.0,18.0,7.0,60.0,15.0,12.0,8.0,48.0,5,1,19,21
1,0021900313,1610612750,Timberwolves,MIN,Minnesota,240:00,9.0,22.0,11.0,36.0,23.0,18.0,12.0,52.0,7,5,21,16,1610612742,Mavericks,DAL,Dallas,240:00,23.0,18.0,12.0,52.0,9.0,22.0,11.0,36.0,5,7,16,21
2,0021900313,1610612742,Mavericks,DAL,Dallas,240:00,23.0,18.0,12.0,52.0,9.0,22.0,11.0,36.0,5,7,16,21,1610612750,Timberwolves,MIN,Minnesota,240:00,9.0,22.0,11.0,36.0,23.0,18.0,12.0,52.0,7,5,21,16
1,0021900314,1610612762,Jazz,UTA,Utah,240:00,13.0,12.0,5.0,34.0,21.0,10.0,32.0,52.0,3,12,24,17,1610612747,Lakers,LAL,Los Angeles,240:00,21.0,10.0,32.0,52.0,13.0,12.0,5.0,34.0,12,3,17,24
2,0021900314,1610612747,Lakers,LAL,Los Angeles,240:00,21.0,10.0,32.0,52.0,13.0,12.0,5.0,34.0,12,3,17,24,1610612762,Jazz,UTA,Utah,240:00,13.0,12.0,5.0,34.0,21.0,10.0,32.0,52.0,3,12,24,17
1,0021900315,1610612758,Kings,SAC,Sacramento,240:00,17.0,15.0,17.0,46.0,15.0,9.0,28.0,52.0,7,10,17,18,1610612757,Trail Blazers,POR,Portland,240:00,15.0,9.0,28.0,52.0,17.0,15.0,17.0,46.0,10,7,18,17
2,0021900315,1610612757,Trail Blazers,POR,Portland,240:00,15.0,9.0,28.0,52.0,17.0,15.0,17.0,46.0,10,7,18,17,1610612758,Kings,SAC,Sacramento,240:00,17.0,15.0,17.0,46.0,15.0,9.0,28.0,52.0,7,10,17,18
1,0021900316,1610612764,Wizards,WAS,Washington,240:00,30.0,21.0,10.0,38.0,10.0,9.0,7.0,48.0,1,6,20,24,1610612755,76ers,PHI,Philadelphia,240:00,10.0,9.0,7.0,48.0,30.0,21.0,10.0,38.0,6,1,24,20
2,0021900316,1610612755,76ers,PHI,Philadelphia,240:00,10.0,9.0,7.0,48.0,30.0,21.0,10.0,38.0,6,1,24,20,1610612764,Wizards,WAS,Washington,240:00,30.0,21.0,10.0,38.0,10.0,9.0,7.0,48.0,1,6,20,24
1,0021900317,1610612752,Knicks,NYK,New York,240:00,13.0,9.0,6.0,50.0,18.0,12.0,11.0,42.0,7,5,16,19,1610612743,Nuggets,DEN,Denver,240:00,18.0,12.0,11.0,42.0,13.0,9.0,6.0,50.0,5,7,19,16
2,0021900317,1610612743,Nuggets,DEN,Denver,240:00,18.0,12.0,11.0,42.0,13.0,9.0,6.0,50.0,5,7,19,16,1610612752,Knicks,NYK,New York,240:00,13.0,9.0,6.0,50.0,18.0,12.0,11.0,42.0,7,5,16,19
1,0021900318,1610612761,Raptors,TOR,Toronto,240:00,22.0,16.0,19.0,50.0,26.0,24.0,23.0,28.0,5,2,21,24,1610612745,Rockets,HOU,Houston,240:00,26.0,24.0,23.0,28.0,22.0,16.0,19.0,50.0,2,5,24,21
2,0021900318,1610612745,Rockets,HOU,Houston,240:00,26.0,24.0,23.0,28.0,22.0,16.0,19.0,50.0,2,5,24,21,1610612761,Raptors,TOR,Toronto,240:00,22.0,16.0,19.0,50.0,26.0,24.0,23.0,28.0,5,2,21,24
1,0021900319,1610612756,Suns,PHX,Phoenix,265:00,29.0,14.0,14.0,66.0,26.0,8.0,22.0,52.0,6,9,29,29,1610612740,Pelicans,NOP,New Orleans,265:00,26.0,8.0,22.0,52.0,29.0,14.0,14.0,66.0,9,6,29,29
